Occupation,Ever been married or in union,Has an account in a bank or other financial institution,Year of first cohabitation,Religion,Current age,Age of wife/partner,Drinks wine,Region,"Have a job, but currently absent",Sex of household head,Beating justified: wife burns food,Beating justified: wife goes out without telling husband,Age in 5-year groups,Occupation (grouped),On average respondent uses daily: snuff by nose,Employment all year/seasonal,Daughters at home,Drinks other alcohol,Cohabitation duration (grouped),Years lived in place of residence,Drinks rum,Beating justified: wife argues with husband,Drinks beer,Educational level,On average respondent smokes daily: manufactured cigarettes,In the past smoked tobacco every day,Drinks Tafia/Clairin,Drinks alcohol,Country code and phase,Currently residing with wife/partner,Beating justified: wife refuses to have sex with husband,Since how many years smokes respondent,Wife justified refusing sex: husband has other women,Age of household head,Currently working,Beating justified: wife neglects the children,Drinks,index,Beating,target
Agriculteur,No,No,,Catholic,28,,No,Sud,,Female,No,No,25-29,Agriculture - self employed,Product not used,All year,0,No,Never married,20,No,No,No,Primary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,69,Yes,No,DrinksTafia/Clairin,0,No Beating,0
Agriculteur,Formerly married,No,1978.0,Catholic,56,,No,Sud,,Female,No,No,55-59,Agriculture - self employed,Product not used,All year,0,No,30+,Always,Yes,No,Yes,No education,Product not used,,Yes,Every now and then,HT7,,No,,Yes,69,Yes,No,Drinks rum,1,No Beating,0
Agriculteur,Formerly married,No,1999.0,Protestant/Methodist/Adventist/Jehova Witness,48,,No,Sud,,Male,No,No,45-49,Agriculture - self employed,Product not used,All year,0,No,15-19,Always,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,48,Yes,No,DrinksTafia/Clairin,2,No Beating,0
Agriculteur,Formerly married,No,2007.0,Protestant/Methodist/Adventist/Jehova Witness,50,,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,5-9,5,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,No,48,Yes,No,DrinksTafia/Clairin,3,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,32,,No,Sud,No,Male,No,No,30-34,Not working,Product not used,,0,No,Never married,Visitor,No,No,Yes,Secondary,Product not used,,Yes,Every now and then,HT7,,No,,Yes,48,No,No,DrinksTafia/Clairin,4,No Beating,0
Agriculteur,No,No,,Catholic,50,,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,No,No,No,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,DrinksTafia/Clairin,5,No Beating,0
Agriculteur,Formerly married,No,1978.0,Catholic,63,,No,Sud,,Male,No,No,60-64,Agriculture - self employed,Product not used,All year,0,No,30+,2,No,No,No,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,DrinksTafia/Clairin,6,No Beating,0
Agriculteur,No,No,,Catholic,50,,No,Sud,,Male,No,No,50-54,Agriculture - self employed,Product not used,All year,0,No,Never married,Always,Yes,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,Yes,No,Drinks rum,7,No Beating,0
Not working and didn't work in last 12 months,No,No,,Catholic,15,,No,Sud,No,Male,No,No,15-19,Not working,Product not used,,0,No,Never married,Always,Yes,No,Yes,Primary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,50,No,No,Drinks rum,8,No Beating,0
Ouvrier qualifiï¿½ de type artisanal,No,No,,Catholic,22,,No,Sud,,Female,No,No,20-24,Skilled manual,Product not used,Occasional,0,No,Never married,Always,No,No,Yes,Secondary,Product not used,,Yes,Hardly ever,HT7,,No,,Yes,64,Yes,No,DrinksTafia/Clairin,9,No Beating,0
